Detailed activity log for 2025-09-06

          id     timestamp  category  duration                                                                                                                                                                                                                                                              window_title  synced        source  local_date
0      18755  1.757154e+09  learning        46                                                                                                                                                                                                                                                                   warning       1  RCR-PF3LV9TF  2025-09-06
1      18756  1.757154e+09    wasted        19                                                                                                                                                                                                                        new tab and 16 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
2      18757  1.757154e+09    family         2                                                                                                                                                                                                                  usta - search and 16 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
3      18758  1.757154e+09    family         5                                                                                                                                                                          usta: find a tennis tournament & play tennis near you and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
4      18759  1.757154e+09    coding        14                                                                                                                                                                                                                        sign in and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
5      18760  1.757154e+09    family         6                                                                                                                                                                          usta: find a tennis tournament & play tennis near you and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
6      18761  1.757154e+09    coding         3                                                                                                                                                                                                                         family and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
7      18762  1.757154e+09      idle         0                                                                                                                                                                                                                                                            Computer Sleep       1  RCR-PF3LV9TF  2025-09-06
8      18763  1.757154e+09    family        15                                                                                                                                                               family account management | link & manage player profiles | usta and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
9      18764  1.757154e+09    coding        11                                                                                                                                                                                              track your time - don't waste it! and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
10     18765  1.757155e+09    coding        25                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
11     18766  1.757155e+09    coding         2                                                                                                                                                                                              track your time - don't waste it! and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
12     18767  1.757156e+09      idle         0                                                                                                                                                                                                                                                            Computer Sleep       1  RCR-PF3LV9TF  2025-09-06
13     18768  1.757156e+09    coding        12                                                                                                                                                                                                                  extension: comment translate - ocrt - visual studio code       1  RCR-PF3LV9TF  2025-09-06
14     18769  1.757156e+09    coding        15                                                                                                                                                                                                                                  outlook (pwa) - mail - cen rao - outlook       1  RCR-PF3LV9TF  2025-09-06
15     18770  1.757156e+09    coding         5                                                                                                                                                                                                          c:\projects\ocrt-master 16.3.1202.0\windebug.x64 - file explorer       1  RCR-PF3LV9TF  2025-09-06
16     18771  1.757156e+09    coding         3                                                                                                                                                                                                                              2025-09-05 - crlog_laptop - obsidian v1.9.12       1  RCR-PF3LV9TF  2025-09-06
17     18772  1.757156e+09    coding         4                                                                                                                                                                                               track your time - don't waste it! and 2 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
18     18773  1.757156e+09    coding         7                                                                                                                                                                                               add_local_date_column.py - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
19     18774  1.757156e+09    coding        28                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
20     18775  1.757156e+09    coding         9                                                                                                                                                                                               add_local_date_column.py - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
21     37405  1.757154e+09  learning        46                                                                                                                                                                                                                                                                   warning       1  RCR-PF3LV9TF  2025-09-06
22     37406  1.757154e+09    wasted        19                                                                                                                                                                                                                        new tab and 16 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
23     37407  1.757154e+09    family         2                                                                                                                                                                                                                  usta - search and 16 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
24     37408  1.757154e+09    family         5                                                                                                                                                                          usta: find a tennis tournament & play tennis near you and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
25     37409  1.757154e+09    coding        14                                                                                                                                                                                                                        sign in and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
26     37410  1.757154e+09    family         6                                                                                                                                                                          usta: find a tennis tournament & play tennis near you and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
27     37411  1.757154e+09    coding         3                                                                                                                                                                                                                         family and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
28     37412  1.757154e+09      idle         0                                                                                                                                                                                                                                                            Computer Sleep       1  RCR-PF3LV9TF  2025-09-06
29     37413  1.757154e+09    family        15                                                                                                                                                               family account management | link & manage player profiles | usta and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
30     37414  1.757154e+09    coding        11                                                                                                                                                                                              track your time - don't waste it! and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
31     37415  1.757155e+09    coding        25                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
32     37416  1.757155e+09    coding         2                                                                                                                                                                                              track your time - don't waste it! and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
33     37417  1.757156e+09      idle         0                                                                                                                                                                                                                                                            Computer Sleep       1  RCR-PF3LV9TF  2025-09-06
34     37418  1.757156e+09    coding        12                                                                                                                                                                                                                  extension: comment translate - ocrt - visual studio code       1  RCR-PF3LV9TF  2025-09-06
35     37419  1.757156e+09    coding        15                                                                                                                                                                                                                                  outlook (pwa) - mail - cen rao - outlook       1  RCR-PF3LV9TF  2025-09-06
36     37420  1.757156e+09    coding         5                                                                                                                                                                                                          c:\projects\ocrt-master 16.3.1202.0\windebug.x64 - file explorer       1  RCR-PF3LV9TF  2025-09-06
37     37421  1.757156e+09    coding         3                                                                                                                                                                                                                              2025-09-05 - crlog_laptop - obsidian v1.9.12       1  RCR-PF3LV9TF  2025-09-06
38     37422  1.757156e+09    coding         4                                                                                                                                                                                               track your time - don't waste it! and 2 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
39     37423  1.757156e+09    coding         7                                                                                                                                                                                               add_local_date_column.py - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
40     37424  1.757156e+09    coding        28                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
41     37425  1.757156e+09    coding         9                                                                                                                                                                                               add_local_date_column.py - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
